name,where,purpose,unit,value,kind,scope,target,measured,holdout,n,sensitivity,decision,why,rank
NOISE_AUTOCORR,simulate.py,how much of a lap's deviation carries into the next,correlation,0.6,hand-set,every lap of every car,lag-1 correlation of within-stint lap residuals,0.155,0.123,"61,234 laps, 3,021 stints",0.056,unchanged,"The measurement is sound and the change is not adopted, which needs saying plainly. 93% of a driver's lap-time variance is within a stint, so 0.155 is the right number for the quantity this parameter names. But 0.60 was never that quantity: it was raised until the favourite stopped winning 98% of simulations, and it is standing in for race-level variance the model has no other source for. Setting 0.155 takes the leader from 32.5% to 38.1%. Removing the stand-in without replacing what it stands in for would be a worse model that looked better audited.",high
SC_TIMING_MEAN_FRACTION,simulate.py,where in the race a background neutralization starts,fraction of race distance,0.6,hand-set,every simulated race,observed safety car starts,0.43,,146 background starts,0.026,changed to 0.43,"The old comment said events cluster after the opening laps have settled. They do the opposite: 38% of background starts fall in the first quarter of the race. Measured on starts only, so a six-lap safety car counts once, and with accident-linked events removed because v2.2 produces those from the crash itself.",high
SC_TIMING_STD_FRACTION,simulate.py,spread of that start lap,fraction of race distance,0.2,hand-set,every simulated race,observed safety car starts,0.32,,146 background starts,0.013,changed to 0.32,"Wider than assumed. A normal this broad puts mass outside the race and the sampler clips it, so some pile-up at the ends is expected; an empirical distribution would be the better model and is left for a version with a reason to build one.",medium
SC_SHRINK_RACES,simulate.py,how hard a circuit's own safety car rate is pulled toward the calendar,pseudo-races,6.0,hand-set,every circuit with few races,predicting whether a held-out race has a safety car,24.0,0.6803,"124 train, 48 held-out races",0.023,changed to 24.0,"Chosen on log loss over races the estimate had not seen. Six was a guess and a conservative one; four times as much pooling predicts better. No pooling at all scores 1.3848 against 0.6803, which is the real result here - per-circuit rates on four races are mostly noise.",high
RF_PROB_CAP,simulate.py,upper clip on a circuit's red flag probability,per race,0.15,safety,10 of 36 circuits bind at it,predicting held-out red flags,,0.2074,48 held-out races,,"unchanged, now with evidence","This looked like the clearest gag in the file: it pins two thirds of the calendar to exactly the floor. Pooling toward the calendar was tried as the alternative and lost on held-out races - 0.2074 for the clip against 0.2462 for pooling and 0.2575 for the calendar rate alone. With three or four races per circuit and a 11% base rate, hard bounds beat a smooth shrink. Kept, and no longer on the suspicion list.",low
RF_PROB_FLOOR,simulate.py,lower clip on the same,per race,0.01,safety,21 of 36 circuits bind at it,predicting held-out red flags,,0.2074,48 held-out races,,"unchanged, now with evidence","Same test as the cap. Zero observed red flags at a circuit is not a probability of zero, and the floor is what says so.",low
SC_QUEUE_GAP,simulate.py,spacing between cars once the safety car queue has formed,s,0.5,hand-set,the last lap of every full safety car,consecutive gaps at a restart,0.72,,"153 restarts, weak proxy",0.007,unchanged,"The lap table has no cumulative time, so the only available proxy is the spread of lap times on the last neutralised lap - which measures how differently cars circulated, not how far apart they were. Changing a number on a proxy that measures something else is worse than leaving it. It moves the result by 0.007 across the whole plausible range, so nothing turns on it.",medium
AUTO_PASS_MARGIN,simulate.py,time gap above which a pass needs no dice,s of cumulative time,1.2,hand-set,every following car on every green lap,"pass opportunities, not completed passes",,,,0.008,unchanged,"Worth 0.008 of win probability and six overtakes a race across 0.9 to 1.5, so it sets the overtaking count without setting the result. Tuning it to hit a target overtake count is the trap this version is supposed to avoid: the number it would be fitted to is produced by the pass model as a whole. It needs an opportunity-denominated measurement, which overtaking.py could supply and does not yet.",medium
STRATEGY_TEMPERATURE,simulate.py,how much weight the softmax gives a dearer strategy,seconds of cost,1.0,hand-set,one draw per car per simulation,observed spread of strategies,,,,0.007,unchanged,"Its unit is seconds, so it means what it means only while costs stay in seconds - worth knowing before anyone rescales them. Real strategies cannot calibrate it: what teams actually ran was shaped by weather, safety cars and traffic on the day, and treating the realised choice as the pre-race optimum would fit this constant to v2.0's job rather than its own.",medium
DELTA_KNEE / DELTA_RATIO,clean.py,soft-knee compression of the measured pace spread,"s/lap, ratio",1.00 / 2.50,hand-set,every driver above 1 s/lap off pole,pace spread free of traffic,,,,,"unchanged, with its cause named","Identity below the knee, so the order is preserved and the front of the field is untouched - the monotonicity this has to have, and it has it. But it is a patch on a known cause: a lap spent stuck behind another car still counts as clean, and backmarkers spend far more of the race there. The fix is a gap-to-car-ahead filter in clean.py, after which the ratio goes back to 1.0. Compressing the symptom is not measuring the phenomenon and this entry exists to stop it being mistaken for one.",low
POOLED_THRESHOLD,simulate.py,was the 50% pass-odds advantage,s/lap,1.6,unused,nothing,,,,,0.0,"dead, kept as a note","Defined and read by nothing. track_threshold solves for the threshold from the measured base rate instead, which is what replaced it. Left in place with this note rather than deleted, because the comment above it still explains the model.",low
MIN_GAP,"tracks.py, imported by simulate.py",was the distance a blocked car was held at,s,0.35,unused,nothing in the pass path,,,,,0.0,dead import,"HELD_GAP replaced it in v1.5 with a measured 0.65, and the import stayed behind. Only 7% of the laps it was supposed to describe were anywhere near 0.35.",low
CLIFF_FALLBACK,Tyre_model/tyre_cliff.py,W and m when a cliff fit was rejected,"s, s/lap",per compound,unused,nothing,,,,,0.0,dead module,"tyre_cliff.py is not imported by anything. The v1.2 rewrite replaced the two-segment k/W/m model with a fitted quadratic whose cliff comes from when teams actually stopped, and the whole module went with it. Calibrating its fallback would be tuning a number that cannot reach the simulation.",low
DEG_DONOR,deg_overrides.py,borrow a degradation curve from another circuit,circuit name,British <- Belgian,borrowed,"one circuit, not this one",,,,1 entry,0.0,"unchanged, out of scope for this race","The only entry is Silverstone borrowing Spa, and the target race is Monza, so it does not fire here at all. Evaluating a donor properly means hiding a circuit's own data and scoring the borrowed prediction against it, which is worth doing when the target race is one that uses a donor.",low
Pirelli ratings,track_deg.py,"abrasion and stress, 1-5, into a degradation severity",rating,per circuit,hand-set,reaches one badge and no arithmetic,,,,,0.0,"unused by the engine, and now labelled so","The chain ends at track[""deg""], which is displayed in the parameter panel and read by nothing in the lap loop - the v1.2 tyre curves took over. So there is no double counting, which was the thing to check, but the panel was implying a number mattered when it did not.",low
